id_0|producto_1|precio_de_venta_2|0_3|cantidad_4|costo_compra_5|provedor_6|grupo_7|multiusos_8|cantidad_productos_por_paquete_9|
35|maruchan pollo enchilado|16|041789001840|0|0|atoto|1||1|
36|maruchan habanero 64g|16|041789001864|0|13.33|casa vargas|1||1|
37|maruchan pollo|16|041789001918|0|12.5|casa vargas|1||1|
38|maruchan res 64 gr|16|041789001925|0|13.33|atoto|1||1|
39|maruchan camaron|16|041789001956|0|11.42|casa vargas|1||1|
40|maruchan piquin64g|16|041789001987|0|13.33|casa vargas|1||1|
41|noodles camaron h 64gr|16|070662141229|0|0|casa vargas|1||1|
42|monster|35|070847035916|0|0|coca cola|1||1|
43|MONSTER BLUE|35|070847036005|0|0|marinela|1||1|
44|monster blanco 473ml|35|070847036043|0|0|coca cola|1||1|
45|monster rojo 473ml|36|070847036210|0|0|coca cola|1||1|
46|bubulubu|10|07432354|0|0|ricolino|1||1|
47|paquete cerillos maya|30|077910000017|0|0|casa vargas|1||1|
48|cerillos maya|3|077910000031|0|0|casa vargas|1||1|
49|nerds 46g|16|079200003364|0|0|marinela|1||1|
50|tecate|20|089826001415|0|0|indio|1||1|
51|valentina 1lt|27|097339000030|0|24.5|casa vargas|1||1|
52|valentina|15|097339000054|0|12.5|casa vargas|1||1|
53|valentina etiqueta negra 370 gr|16|097339000061|0|13.40|casa vargas|1||1|
54|cepillo colgate|12|099176316831|0|0|casa vargas|1||1|
55|pomada ceresa|6|1|0|1|pomada labiual|1°producto||1|
56|maizena chocolate 45g|11|1005107013|0|0|casa vargas|1°producto||1|
57|papel aluminio|39.5|10900000406|0|0|casa vargas|1||1|
58|arizona 68ml|15|13008738846|0|0|bonafont gatorade|1°producto||1|
59|rexal polvo hornear|13.5|13602000200|0|10|casa vargas|1||2|
60|fina variedad galleta|21|14437002278|0|15|gabi|1°producto||1|
61|galletas gabi fina variedad 200g|21|14437002278|0|24.1|tia rosa|1||1|
62|clamato 473ml|19|14800515329|0|16.2|peñafiel|1°producto||12|
63|clamato 473ml|22|14800515329|0|0|casa vargas|1||1|
64|clamato 946ml|33|14800515336|0|0|peñafiel|1°producto||1|
65|clamato946ml|33|14800515336|0|29|quala|1||1|
66|clamato 1.89lt|66|14800515343|0|0|peñafiel|1°producto||1|
67|clamato grande|66|14800515343|0|60|peñafiel|1||1|
68|sardina yavaros 425g|41|17479831011|0|35|casa vargas|1||1|
69|tueni pop paleta caramelo suave sabores 13.93|3|18804051890|0|1|canels|1°producto||1|
70|palenetas fresa-cereza 13.9|3|18804053764|0|1|canel´s|1°producto||1|
71|chiclosos la viquita|3|18804054945|0|0|la vaquita|1°producto||1|
72|boing durazno 250ml|8|19836100211|0|5.4|casa vargas|1°producto||1|
73|boing cajita|10|19836100211|0|0|casa vargas|1||1|
74|boing guayaba 250ml|8|19836102628|0|0|boing|1°producto||1|
75|boing durazno 500ml|11|19836200218|0|0|boing|1°producto||1|
76|boing fresa 340ml|13|19836500011|0|0|operadora avicola san miguel santa ana|1||1|
77|boin mango 340ml|13|19836500028|0|0|operadora avicola san miguel santa ana|1||1|
78|boing guayaba340ml|13|19836500035|0|0|operadora avicola san miguel santa ana|1||6|
79|boing manzana 340ml|13|19836500301|0|0|operadora avicola san miguel santa ana|1||1|
80|nutret fresa 40g|9|20899087531|0|0|no se sabe|1°producto||1|
81|orbit americano 16.2g|9|22000279033|0|0|orbit|1°producto||1|
82|orbit fresa 5.6|3|2201302|0|0.75|orbit|1°producto||1|
83|orbit fresa|3.5|2201302|0|62.5|orbit|1||1|
84|hubba chicle metro 56.7g|22|22110079806|0|17.5|turin|1°producto||1|
85|orbit yerbabuena 5.6g|3|2261003|0|0.75|orbit|1°producto||1|
86|orbit hierba buena|3.5|2261003|0|62.5|orbit|1||1|
87|cosecha mango 200ml|8|24474393444|0|4|pepsi|1°producto||12|
88|cosecha pura mango 200ml|10|24474393444|0|7.2|pepsi|1||1|
89|cosecha manzana 200ml|8|24474393475|0|4|pepsi|1°producto||6|
90|cosecha pura durazno|6|24474393475|0|0|pepsi|1||1|
91|cosecha pura durazno 200ml|8|24474393536|0|4|pepsi|1°producto||12|
92|cosecha pura durazno|6|24474393536|0|3.5|pepsi|1||1|
93|bocadin chocolate 10.5gr|3|25046150137|0|1|marinela|1||1|
94|duvalin 15g|3.5|2520575|0|0|casa vargas|1||1|
95|fruta cristalisada 300gr|31|2526890023342|0|0|vendedor x|1°producto||1|
96|silk almendra 946ml|38|25293002920|0|0|marinela|1||1|
97|cepillodental|21|3014260846725|0|18|salma|1°producto||1|
98|foco 100 wats|13|3068620202126|0|0|medicamento|1°producto||1|
99|encendedor bic|16|3086123397835|0|0|bic|1°producto||1|
100|bic gde|23|3086123397859|0|0|pepsi|1||1|
101|encendedor big|16|3086126788722|0|0|encendedor|1°producto||1|
102|ocean spray 1lt arandano|28|31200454560|0|23.78|casa vargas|1||1|
103|del valle mango 413ml|15|32239052000|0|11|coca cola|1°producto||1|
104|Jugo del valle mango 413ml|16|32239052000|0|11|coca cola}|1||12|
105|del valle durazno 413ml|15|32239052017|0|11|coca cola|1°producto||1|
106|jugo del valle durazno 413ml|16|32239052017|0|11|coca cola}|1||12|
107|Jugo del valle manzana 413ml|16|32239052024|0|11|coca cola}|1||1|
108|sal la fina 1kg|16.5|34587030013|0|11.5|casa vargas|1°producto||1|
109|sal la fina 1k|16|34587030013|0|12.5|casa vargas|1||1|
110|sal 500g|11|34587090017|0|8.2|aurrera|1||1|
111|sedalmerk 500mg|7|3467470001|0|1|sedalmerk|1°producto||1|
112|flan d caja|12.5|35257002889|0|0|casa vargas|1°producto||1|
113|gatorade naranja 350ml|11|36731103512|0|9|pepsi|1°producto||1|
114|gatorade naranja 350ml|11|36731103512|0|0|pepsi|1||8|
115|gatorade lima limon 350ml|11|36731103536|0|9|pepsi|1°producto||1|
116|gatorade lima-limon 350ml|11|36731103536|0|0|pepsi|1||4|
117|gatorade naranja 600ml|23|36731106018|0|18.9|pepsi|1°producto||1|
118|gatorade naranja 600ml|23|36731106018|0|0|pepsi|1||1|
119|gatorade limonada 600ml|23|36731106025|0|18.9|pepsi|1°producto||1|
120|gatorade limonada 600ml|23|36731106025|0|0|pepsi|1||6|
121|gatorade lima limon 600ml|23|36731106032|0|18.9|pepsi|1°producto||1|
122|gatorade lima-limon 600ml|23|36731106032|0|0|pepsi|1||1|
123|gatorade uva 600ml|23|36731106049|0|18.9|pepsi|1°producto||1|
124|gatorade uva 600ml|23|36731106049|0|0|pepsi|1||1|
125|gatorade ponche de frutas 600ml|23|36731106063|0|18.9|pepsi|1°producto||1|
126|gatorade ponche 600ml|23|36731106063|0|0|pepsi|1||1|
127|gatorade fresa zandia 600ml|23|36731106186|0|18.9|pepsi|1°producto||1|
128|gatorade fresandia 600ml|23|36731106186|0|0|pepsi|1||1|
129|gatorade blue thonder 500ml|20|36731135919|0|0|pepsi|1°producto||1|
130|gatorade mora azul 600ml|23|36731136916|0|18.9|pepsi|1°producto||1|
131|gatorade blue 600ml|23|36731136916|0|0|pepsi|1||1|
132|gatorade naranja 1lt|29|36731321008|0|23.4|pepsi|1°producto||1|
133|gatorade naranja 1Ltr|30|36731321008|0|0|pepsi|1||1|
134|gatorade limonada 1lt|29|36731322005|0|23.4|pepsi|1°producto||1|
135|gatorade limonada 1Ltr|30|36731322005|0|0|pepsi|1||1|
136|gatorade lima limon 1lt|29|36731323002|0|23.4|pepsi|1°producto||6|
137|gatorade 1l|30|36731323002|0|26|pepsi|1||6|
138|gatorade uva 1lt|29|36731324009|0|23.4|pepsi|1°producto||1|
139|gatorade uva 1Ltr|30|36731324009|0|0|pepsi|1||1|
140|gatorade ponche 1lt|29|36731326003|0|23.4|pepsi|1°producto||1|
141|gatorad ponche 1lt|30|36731326003|0|0|pepsi|1||1|
142|gatorade fresandia 1lt|29|36731328007|0|23.4|pepsi|1°producto||1|
143|gatorade 1L fresandia|30|36731328007|0|0|pepsi|1||12|
144|gatorade 500ml naranja|20|36731501004|0|15|pepsi|1||6|
145|gatorade limonada 500ml|19|36731502001|0|0|pepsi|1°producto||1|
146|gatorade lima limon 500ml|20|36731502001|0|0|pepsi|1||1|
147|gatorade uva 500ml|20|36731504005|0|0|pepsi|1||8|
148|gatorade ponche frutas 500ml|20|36731506009|0|0|pepsi|1°producto||1|
149|gatorade 500ml ponche|20|36731506009|0|13|pepsi|1||6|
150|pringles 124g|37|38000184932|0|27.85|casa castañeda atoto|1||1|
151|pringles queso chedar 124g|38|38000184956|0|28.5|casa castañeda atoto|1||14|
152|kitkat|7|3800020423547|0|0|marinela|1||1|
153|pringles 37g|17|38000846731|0|13.4|el toro|1||4|
154|pringles crema y cebolla 40g|17|38000846748|0|0|casa vargas|1||1|
155|pringles 40g|17|38000846755|0|12|el toro|1||1|
156|chicharron saldaña|9|3805565154|0|7.2|saldaña|1°producto||1|
157|energizer pila reloj ch|26|39800112781|0|18.75|ghd|1||4|
158|agua skarch 1Lt|10|40232838699|0|5.83|red cola|1°producto||12|
159|skarch 1lt|7|40232838699|0|5.83|red cola|1||1|
160|titan mandarina 3lts|26|40232886652|0|22.5|red cola|1°producto||1|
161|titan piña 3 lts|26|40232886669|0|22.5|red cola|1°producto||1|
162|titan manzana 3lts|26|40232886676|0|22.5|red cola|1°producto||1|
163|titan tuti-fruti 2lt|21|40232886690|0|18|red cola|1°producto||1|
164|titan limon 2lt|21|40232886713|0|18|red cola|1°producto||1|
165|titan mandarina 2lt|21|40232886720|0|18|red cola|1°producto||1|
166|titan piña 2lt|21|40232886737|0|18|red cola|1°producto||1|
167|titan tamarindo 600ml|11|40232886751|0|9|red cola|1°producto||1|
168|titan tuti-fruti 600ml|11|40232886768|0|9|red cola|1°producto||1|
169|titan limon 600ml|11|40232886782|0|9|red cola|1°producto||1|
170|titan piña 600ml|11|40232886805|0|9|red cola|1°producto||1|
171|titan manzana 600ml|11|40232886812|0|9|red cola|1°producto||1|
172|agua mineral skarch|7|40232895449|0|4|red cola|1||24|
173|cigarro winston capsula menta 20'|55|4033100076428|0|49|camel|1°producto||1|
174|duracell D|106|41333000985|0|84|salma|1||1|
175|pila c duracel|111|41333000992|0|0|salma|1°producto||1|
176|duracell pilas D 2|111|41333000992|0|90|dicorsa|1||1|
177|duracel 9V|106|41333001043|0|86|salma|1||1|
178|pila AAA paquete de 5 pilas|83|41333404486|0|0|salma|1||1|
179|pila AAA|20|41333428482|0|14|salma|1°producto||6|
180|pila AAA duracell|21|41333428482|0|16|guna|1||6|
181|pila AA|20|41333666426|0|14|salma|1°producto||6|
182|pilas AA duracel|21|41333666426|0|0|guna|1||6|
183|duracell AA|112|41333760643|0|96|quala|1||1|
184|trolli crawlers 25g|16|41420040993|0|6.01|ferrero-kinder|1°producto||1|
185|gummy bears 25g|9|41420041013|0|6.01|ferrero-kinder|1°producto||1|
186|eco unicel|16|41594206607|0|15|casa vargas|1°producto||1|
187|vaso unicel dart 10|14|41594206607|0|0|materias primas|1||40|
188|vaso ecounicel|13|41594231173|0|9.3|casa vargas|1||1|
189|maruchan pollo picante|13.5|41789001840|0|9.5|atoto|1||12|
190|maruchan limon habanero 64g|13.5|41789001864|0|9.17|casa vargas|1°producto||1|
191|maruchan limon habanero 64g|13.5|41789001864|0|0|casa vargas|1||12|
192|maruchan pollo 64g|13.5|41789001918|0|9.17|casa vargas|1°producto||1|
193|maruchan pollo 64 gr|13.5|41789001918|0|9.5|casa vargas|1||1|
194|maruchan res 64g|13.5|41789001925|0|9.17|casa vargas|1°producto||1|
195|maruchan res 64gr|13.5|41789001925|0|9.7|casa vargas|1||1|
196|maruchan camaron 64gr|13.5|41789001956|0|9.17|casa vargas|1°producto||1|
197|maruchan camaron 64g|13.5|41789001956|0|9.17|casa vargas|1||1|
198|maruchan camaron piquin 64gr|13.5|41789001987|0|9.17|casa vargas|1°producto||1|
199|maruchan chile piquin 64g|13.5|41789001987|0|8.75|casa vargas|1||1|
200|red label 700ml|301|5000267014203|0|260.7|magadan|1°producto||1|
201|jhonny walker rojo 250ml|91|5000267165240|0|70|pue castellanos|1||6|
202|don julio 750ml|701|5000281043449|0|553|magadan|1°producto||1|
203|capitan morgan 700ml|241|5000281055374|0|209|magadan|1°producto||1|
204|coca 600ml|15|5007614|0|13|coca cola|1||24|
205|panque bimbo|33|501000310647|0|30|bimbo dulce|1||1|
206|emperador senzo|14|501000640362|0|11|gamesa|1||8|
207|cocacola 400|11|501011143753|0|0|coca cola|1||20|
208|paketaxo|15|501011148963|0|0|sabritas|1||1|
209|jumex manzana 450ml|17|501013103342|0|0|jumex|1||1|
210|jumex uva|22|501013122145|0|0|jumex|1||6|
211|jumex 600ml|15|501013174144|0|12|jumex|1||1|
212|sol chelada473ml|21|501049917296|0|18|indio|1||1|
213|CATSUP CLEMENTE JACKS|17|501052472102|0|14|la costeña|1||1|
214|coca 2.5l|29|501055310227|0|26|coca cola|1||8|
215|peñafiel 600ml|13|501073841925|0|10|indio|1||12|
216|tostadas 350g|20|528186263502|0|0|marinela|1||1|
217|stella artois lager 250ml|17|5410228240945|0|14.4|indio|1°producto||1|
218|smirnoff 750ml|217|5410316950527|0|0|marinela|1||1|
219|cliper|17|5507921791659|0|11.6|pall mall|1||1|
220|always seca 8 toallas|23|56100024798|0|18|salma|1°producto||1|
221|trueno pop|4|603554043051|0|0|dulceria|1||1|
222|pulseras|5|603554054033|0|0|salma|1||1|
223|choco huevo sorpresa12g|16|603554102017|0|12|las delicias|1°producto||1|
224|choco huevo sorpresa 12gr|16|603554114034|0|12.5|vendedor x|1||1|
225|tamaris 1Lt|14|604498134522|0|11|tamaris|1°producto||1|
226|skarch 10L|29|606110023924|0|23.4|skarch|1°producto||1|
227|red-cola 355ml|7|606110024006|0|5.4|red cola|1°producto||1|
228|arizona limon-te negro|15|613008738761|0|10.5|chedrahui|1||2|
229|arizona mucho mango 680ml|15|613008738808|0|13.25|jumex|1°producto||1|
230|arizona kiwi con fresa 680ml|15|613008738822|0|11.7|jumex|1°producto||1|
231|arizona sandia 680ml|15|613008738846|0|13.25|jumex|1°producto||1|
232|arizona ponche de frutas 680ml|15|613008738860|0|11.7|jumex|1°producto||1|
233|arizona te verde 680ml|15|613008738884|0|11.7|bonafont gatorade|1°producto||1|
234|arizona te verde 680ml|15|613008756123|0|11.7|bonafont gatorade|1°producto||1|
235|arizona limonada y fresa 680ml|15|613008756154|0|15|bonafont gatorade|1°producto||1|
236|delicias350g|22|615380000122|0|16.1|lacteos tlaxcala|1°producto||1|
237|tajin 142gr|32|633148100013|0|0|casa vargas|1||1|
238|tajin sobre grande|14.5|633148101119|0|0|casa vargas|1||1|
239||1|633148211139|0|0|quala|1°producto||1|
240|donitas totis 50g|13|643795541244|0|0|la costeña|1°producto||1|
241|totis palitos chile y limòn 25g|7|643795549271|0|5.4|costeña|1°producto||1|
242|veladora la soledad vaso limonero|19|649646900406|0|0|casa vargas|1||1|
243|NEXT 10 tabletas|4.5|650240010538|0|0|next|1°producto||1|
244|alliviax 10 tabletas|11.5|650240013805|0|0|alliviax|1°producto||1|
245|suerox manzana|22|650240032257|0|0|comercializadora america(ex qala)|1||1|
246|suerox|22|650240032264|0|0|quala|1||1|
247|suerox|22|650240032271|0|20|quala|1||1|
248|suerox mora|22|650240032295|0|16.7|comercializadora america(ex qala)|1||1|
249|suerox naranja mandarina|22|650240032301|0|16.7|comercializadora america(ex qala)|1||12|
250|suerox lima limon|22|650240032325|0|0|comercializadora america|1||1|
251|suerox aloe-lich 630ml|22|650240057946|0|0|comercializadora america|1||1|
252|tostadas sanissimo 216g|29|658480001262|0|0|bimbo|1||1|
253|salmas horneadas 90g|17|658480001958|0|0|bimbo|1||1|
254|sky blue tamarindo 275|21|664804000439|0|0|bonafont gatorade|1°producto||1|
255|sky blue mango-durzn 275ml|27|664804001092|0|0|bonafont gatorade|1°producto||1|
256|skyblue manzana verde|26|6648040012900|0|18|sky|1°producto||1|
257|jarrito mandarina 3L|29|67501441615110|0|0|pepsi|1°producto||1|
258|encendedor econ,|10|6843481905006|0|0|charras|1||1|
259|veladora ocotlan|19|687934000018|0|0|casa vargas|1||1|
260|cera ocotlan|28.5|687934000261|0|21.33|comp magadan sant|1||3|
261|cepillo colgate|13|6910021007206|0|10.8|salma|1°producto||1|
262|naipe baraja plastico española|53|6921876307335|0|40|tulancingo|1||1|
263|huevo iman|12|6925374513137|0|0|dulceria|1||1|
264|foco megatronic|13|6927496900048|0|8|angel focos pachuca|1||10|
265|foco megal lups|13|6956616712254|0|0|casa vargas|1||1|
266|pila reloj grande|21|6970905201458|0|15|ghd|1||5|
267|palillos|11|6972554330015|0|8|casa vargas|1||12|
268|rastrillo comfort bic|115|70330717534|996|101|medicamento|1°producto||10|
269|rastrillo comfort bic|115|70330717534|996|101|medicamento|1°producto||10|
270|rastrillo bic confort 3 hojas|13|70330724341|0|10|bic|1°producto||10|
271|sobre wishkas|13|706460000641|0|0|victor|1||2|
272|sobre wiskas 85g|13|706460000740|0|0|victor|1||1|
273|whiskas por kilo|47|706460012729|0|37.75|casa vargas|2||20|
274|milky way mini 8.5g|4.5|706460200157|0|0|orbit|1°producto||52|
275|mini snikers 9g|4.5|706460200164|0|0|snikers|1°producto||52|
276|pedigree adulto pollo 100g|12.5|706460249231|0|10.5|pedigree|1°producto||1|
277|pedigree sobres|12.5|706460249279|0|10.5|quala|1||6|
278|sobre pedigri|13|706460249316|0|10|casa vargas|1||8|
279|pedigree cachorro pollo 100g|12|706460249361|0|0|pedigree|1°producto||1|
280|sobre pedigri|13|706460249484|0|9|victor|1||9|
281|nissin camaron picante|13|70662140123|0|8.9|casa vargas|1||12|
282|nissin camaron habanero|13.5|70662141229|0|9.5|casa vargas|1||15|
283|nissin pollo|12.5|70662141236|0|9|casa vargas|1||1|
284|sopa nissin|13.5|70662247143|0|0|casa vargas|1||1|
285|sopa nissin dark 64g|12.5|70662247198|0|9.5|casa vargas|1||1|
286|monster energy 473ml|36|70847035916|0|0|coca cola|1||8|
287|monster 473|36|70847036005|0|0|coca cola|1||1|
288|monster rojo|36|70847036210|0|31|coca cola|1||1|
289|crayon mango 28g|7.5|719886120251|0|4.8|trident|1||1|
290|crayon amarillo dulce|7.5|719886120251|0|4.5|dulceria|1||1|
291|crayon fresa 28g|7.5|719886120275|0|4.8|trident|1||1|
292|crayon uva 28g|7.5|719886120299|0|4.8|trident|1||1|
293|crayon manzana 28g|7.5|719886120312|0|4.8|trident|1||1|
294|pelon pelo rico 30g|7.5|719886211713|0|4|mondelez|1||7|
295|sky arandano|27|721059712750|0|18|sky|1°producto||1|
296|skyblue granada|21|721059722759|0|18|sky|1°producto||1|
297|paleta e taro|2|723707925031|0|35|salma|1||50|
298|malvaviscos chocolate 50gr|12|724609322522|0|0|casa vargas|1||1|
299|mazapan grande de la rosa|7|724869001397|0|3.7|casa vargas|1||20|
300|mazapan 25g cubierto choco|6|724869011006|0|2.68|el goloso|1°producto||1|
301|mazapan c hico de la rosa|4.5|724869100076|0|2.5|casa vargas|1||30|
302|lucas gusano chamoy 36g|8|725181035015|0|55|orbit|1°producto||10|
303|lucas gusano 36g|9|725181035075|0|3|orbit|1°producto||1|
304|lucas polvo|8|725181185017|0|0|charras|1||1|
305|skwinkles rellenos 26g|7|725181207016|0|3.5|orbit|1°producto||24|
306|skwinkles salsagheti 24g|7|725181249016|0|3|orbit|1°producto||12|
307|lucas bomba limo 30g|9|725181389019|0|0|orbit|1°producto||1|
308|pulparindo|4|725226066660|0|2.5|casa vargas|1||1|
309|fregon 1pz|9.5|726866050415|0|0|fregon|1°producto||1|
310|mazapan azteca chico|3|730399012109|0|2|dulceria|1||1|
311|vodka lime 750ml|251|7312040551675|0|220|magadan|1°producto||1|
312|gelatina dgari cereza 120gr|9|735257002445|0|7.2|dgari|1°producto||1|
313|gelatina uva 120g|13|735257002452|0|9.9|dgari|1°producto||1|
314|gelatina dgari piña 120gr|13|735257002469|0|9.5|casa vargas|1°producto||1|
315|gelatina dgari naranja 120gr|13|735257002476|0|7.2|dgari|1°producto||1|
316|gelatina mandarina 120g|12|735257002483|0|0|dgari|1°producto||1|
317|gelatina limon dgari 120g|13|735257002490|0|9.9|casa vargas|1°producto||1|
318|gelatina dgari jerez 120gr|9|735257002506|0|7.2|dgari|1°producto||1|
319|gelatina fresa 120g|13|735257002513|0|9.5|casa vargas|1°producto||1|
320|gelatina dgari frambuesa 120gr|10.89|735257002520|0|9.9|dgari|1°producto||1|
321|gelatina dgari durazno 120g|13|735257002537|0|7.2|dgari|1°producto||1|
322|gelatina de grosella 120g|13|735257002544|0|9.5|casa vargas|1°producto||1|
323|gelatina manzana 120g|13|735257002568|0|0|dgari|1°producto||1|
324|gelatina dgari anis 120gr|13|735257002575|0|7.2|dgari|1°producto||1|
325|gelatina dgari mango 120gr|13|735257002582|0|7.2|casa vargas|1°producto||1|
326|dgari moraazul120g|13|735257002599|0|0|marinela|1||1|
327|d gari arandano 120g|13|735257002605|0|0|casa vargas|1°producto||1|
328|gelatina dgari rompope 120gr|13|735257002629|0|9.9|dgari|1°producto||1|
329|d`gari vainilla gelatina 120g|13|735257002636|0|9.9|dgari|1°producto||1|
330|gelatina fresa leche 120g|12|735257002643|0|8.6|casa vargas|1°producto||1|
331|d`gari chocolate 120g|13|735257002650|0|9.9|casa vargas|1°producto||1|
332|gelatina dgari nuez 120gr|12|735257002667|0|7.2|dgari|1°producto||1|
333|gelatina gari coco leche|12|735257002674|0|9|casa vargas|1||6|
334|d gari pistache 120g|13|735257002681|0|0|casa vargas|1°producto||1|
335|d gari leche condensada 120g|13|735257002698|0|0|casa vargas|1°producto||1|
336|dgari piña coco 120g|12|735257002704|0|0|casa vargas|1°producto||1|
337|flan vainilla dgari 88g|14|735257002889|0|10|casa vargas|1°producto||1|
338|d gari mango 20g|13|735257003480|0|0|marinela|1||1|
339|d gari fresa 20g|13|735257003626|0|0|marinela|1||1|
340|d gari zarzamora 20g|13|735257003633|0|0|marinela|1||1|
341|dgari colageno21g|18.5|735257003671|0|0|casa vargas|1||1|
342|dgari 120g|13|735257003749|0|0|casa vargas|1||1|
343|dgari naranja120g|13|735257003756|0|0|casa vargas|1||1|
344|dgari negra120g|13|735257003770|0|0|casa vargas|1||1|
345|flan vainilla 140g|9|735257005019|0|7.2|dgari|1°producto||1|
346|vainilla dgari 120ml|6|735257006016|0|5|casa vargas|1||1|
347|salsa la botanera 956ml|26|738545010016|0|21.5|casa vargas|1°producto||1|
348|botanera 478|15.95|738545010030|0|14.5|coca cola|1||1|
349|salsa botanera 354ml|11.5|738545010481|0|8.5|casa vargas|1°producto||1|
350|salsa botanera 1.400L|29|738545010559|0|25|botanera|1°producto||1|
351|chamoy 350ml|16.5|738545020626|0|0|casa vargas|1||1|
352|paleta coca|2|739802517330|0|0|dicorsa|1||50|
353|foco chiyoda plus 100w|11|7404005961329|0|9|chiyoda|1°producto||1|
354|esponja multiusos fibra|11|741120000296|0|9|casa vargas|1°producto||1|
355|cajeta quemada 370 g|35|74323083651|0|30.12|ricolino|1°producto||1|
356|cajeta coronado|28|74323083651|0|23|casa vargas|1||1|
357|bubulubu  35g|10|7432354|0|8.1|ricolino|1°producto||1|
358|pila panasonic AA 4pack|41|7441005013375|0|33|casa vargas|1||1|
359|pila panasonic AAA 4pack|41|7441005014433|0|33|casa vargas|1||1|
360|tonayan 440ml|23|744293160354|0|15.83|casa vargas|1°producto||1|
361|tonayan 1L|43|744293160361|0|32|casa vargas|1°producto||1|
362|tonayan grande|45|744293160521|0|39|casa vargas|1||1|
363|Tonayan 440ml|22|744293160583|0|15.79|casa vargas|1||1|
364|tequila herradura 700ml|701|744607002103|0|0|herradura|1°producto||1|
365|new mix paloma 473ml|25|744607002691|0|20|sabormex|1||1|
366|new mix 473ml|25|744607002707|0|0|casa vargas|1||1|
367|jackdaniel coca 2|25|744607008143|0|0|bonafont gatorade|1°producto||1|
368|jackdaniel ginger 355ml|35|744607008174|0|0|bonafont gatorade|1°producto||1|
369|jackdaniel manzana 355ml|35|744607008297|0|0|bonafont gatorade|1°producto||1|
370|new mix 350ml plastico paloma|20|744607008945|0|0|bonafont gatorade|1||1|
371|new mix 320ml plastico vampiro|20|744607008952|0|0|bonafont gatorade|1||1|
372|new mex margarita 350ml|19|744607050586|0|0|bonafont gatorade|1°producto||1|
373|new mix vampiro|19|744607588805|0|16.2|el jimador|1°producto||1|
374|skyblue citrus|26|744607696012|0|18|sky|1°producto||1|
375|new mix paloma|19|744607840804|0|16.2|el jimador|1°producto||1|
376|veladora la fama vaso limonero|18|744831150915|0|13|competencia de magadan santana|1||10|
377|veladora limon luz|22.5|744831150953|0|0|marinela|1||1|
378|veladora de vaso vidrio|17.5|744831152476|0|0|casa vargas|1°producto||1|
379|veladora vaso rosita|22|744831170753|0|0|casa vargas|1°producto||1|
380|veladora vaso azul|23|744831170845|0|19|casa vargas|1||6|
381|veladora de vaso alcatraz|20|744831191185|0|15.9|casa vargas|1||1|
382|sidral aga 2lt|20|744886193059|0|17.1|red cola|1°producto||1|
383|zubba 600ml|13|744886225231|0|8.1|red cola|1°producto||1|
384|zubba 2lts|20|744886522057|0|17.1|red cola|1°producto||4|
385|paletonn  20g|6|745404566317|0|0|paleton|1°producto||1|
