id_0|producto_1|precio_de_venta_2|0_3|cantidad_4|costo_compra_5|provedor_6|grupo_7|multiusos_8|cantidad_productos_por_paquete_9|
72|cigarro pepino 20'|56|75064648|-10000|50|pall mall|1°producto||1|
73|cigarro fusion summer/sandia 20'|63|75066345|-10000|55|marlboro|1°producto||5|
74|trident canela 5.2g|2.5|75066932|-10000|1|trident|1°producto||1|
75|chesterfield 15|37|75067823|-10000|0|marlboro|1°producto||4|
76|chesterfield 25´|55|75067854|-10000|47|marlboro|1°producto||16|
77|cigarro gold 20'|63|75068738|-10000|55|marlboro|1°producto||1|
78|cigarro double fusion/velvet 20'|63|75068769|-10000|55|marlboro|1°producto||5|
79|cigarro double fusion ruby 20'|63|75068783|-10000|55|marlboro|1°producto||5|
80|cigarro manzana/menta 20'|56|75069490|-10000|50|pall mall|1°producto||1|
81|cigarro L&M 2c/cfiltro|37|75069902|-10000|40|L&M|1°producto||1|
82|cigarro mix pack/chicle 20'|56|75070090|-10000|50|pall mall|1°producto||1|
83|cigarro doble menta 20'|56|75071295|-10000|50|pall mall|1°producto||1|
84|cigarro original 20'|37|75071776|-10000|30|pall mall|1°producto||1|
85|tictac menta 16g|8|78603769|-10000|0|tictsac|1°producto||1|
86|tic tac fresa 16g|8|78605831|-10000|0|ferrero/kinder|1°producto||1|
87|kinder maxi 21g|8|80050094|-10000|7.2|ferrero/kinder|1°producto||10|
88|kinder 12.5g|4|80050315|-10000|3.6||1°producto||1|
89|huevo kinder niña(o) 20g|20|80051121|-10000|18|kinder|1°producto||1|
90|nutella 200g|40|80051671|-10000|36||1°producto||1|
91|huevo kinder animalitos 20g|20|80051831|-10000|18||1°producto||1|
92|kinder bueno 43g|20|80052760|-10000|18|kinder|1°producto||1|
93|huevo kinder dino 20g|20|80135692|-10000|16|kinder|1°producto||1|
94|tic tac menta 16g|8|80863496|-10000|0|ferrero/kinder|1°producto||1|
95|kinder masha&oso 20g|20|80892816|-10000|16.01|ferrero/kinder|1°producto||1|
96|tic tac coca 14.5g|8|80996521|-10000|6|tictac|1°producto||1|
97|sedalmerk 500mg|6|3467470001|-10000|1|sedalmerk|1°producto||1|
98|chicharron saldaña|8|3805565154|-10000|7.2||1°producto||1|
99|fina variedad galleta|20|14437002278|-10000|15|gabi|1°producto||1|
100|clamato 473ml|18|14800515329|-10000|16.2|peñafiel|1°producto||12|
101|clamato 246ml|32|14800515336|-10000|0|peñafiel|1°producto||1|
102|tueni pop paleta caramelo suave sabores 13.93|2|18804051890|-10000|1|canels|1°producto||1|
103|palenetas fresa/cereza 13.9|2|18804053764|-10000|1|canel´s|1°producto||1|
104|chiclosos la viquita|2|18804054945|-10000|0|la vaquita|1°producto||1|
105|orbit americano 16.2g|8|22000279033|-10000|0|orbit|1°producto||1|
106|cosecha pura mango 200ml|5|24474393444|-10000|0|pepsi|1°producto||1|
107|cosecha pura durazno 200ml|5|24474393536|-10000|0|pepsi|1°producto||1|
108|del valle mango 413ml|14|32239052000|-10000|10.5|coca|1°producto||1|
109|del valle durazno 413ml|14|32239052017|-10000|10.5|coca|1°producto||1|
110|sal la fina 1kg|12|34587030013|-10000|10.8|la fina|1°producto||1|
111|gatorade naranja 350ml|10|36731103512|-10000|9|pepsi|1°producto||1|
112|gatorade lima limon 350ml|10|36731103536|-10000|9|pepsi|1°producto||1|
113|gatorade naranja 600ml|22|36731106018|-10000|18.9|pepsi|1°producto||1|
114|gatorade limonada 600ml|22|36731106025|-10000|18.9|pepsi|1°producto||1|
115|gatorade lima limon 600ml|22|36731106032|-10000|18.9|pepsi|1°producto||1|
116|gatorade uva 600ml|22|36731106049|-10000|18.9|pepsi|1°producto||1|
117|gatorade ponche de frutas 600ml|22|36731106063|-10000|18.9|pepsi|1°producto||1|
118|gatorade fresa zandia 600ml|22|36731106186|-10000|18.9|pepsi|1°producto||1|
119|gatorade blue thonder 500ml|19|36731135919|-10000|0|pepsi|1°producto||1|
120|gatorade mora azul 600ml|22|36731136916|-10000|18.9|pepsi|1°producto||1|
121|gatorade naranja 1lt|28|36731321008|-10000|23.4|pepsi|1°producto||1|
122|gatorade limonada 1lt|28|36731322005|-10000|23.4|pepsi|1°producto||1|
123|gatorade lima limon 1lt|28|36731323002|-10000|23.4|pepsi|1°producto||1|
124|gatorade uva 1lt|28|36731324009|-10000|23.4|pepsi|1°producto||1|
125|gatorade ponche de frutas 1lt|28|36731326003|-10000|23.4|pepsi|1°producto||1|
126|gatorade fresandia 1lt|28|36731328007|-10000|23.4|pepsi|1°producto||1|
127|gatorade limonada 500ml|18|36731502001|-10000|0|pepsi|1°producto||1|
128|gatorade ponche frutas 500ml|18|36731506009|-10000|0|pepsi|1°producto||1|
129|agua skarch 1Lt|6|40232838699|-10000|5.4|skarch|1°producto||1|
130|titan mandarina 3lts|25|40232886652|-10000|22.5|red cola|1°producto||1|
131|titan piña 3 lts|25|40232886669|-10000|22.5|red cola|1°producto||1|
132|titan manzana 3lts|25|40232886676|-10000|22.5|red cola|1°producto||1|
133|titan tuti-fruti 2lt|20|40232886690|-10000|18|red cola|1°producto||1|
134|titan limon 2lt|20|40232886713|-10000|18|red cola|1°producto||1|
135|titan mandarina 2lt|20|40232886720|-10000|18|red cola|1°producto||1|
136|titan piña 2lt|20|40232886737|-10000|18|red cola|1°producto||1|
137|titan tamarindo 600ml|10|40232886751|-10000|9|red cola|1°producto||1|
138|titan tuti-fruti 600ml|10|40232886768|-10000|9|red cola|1°producto||1|
139|titan limon 600ml|10|40232886782|-10000|9|red cola|1°producto||1|
140|titan piña 600ml|10|40232886805|-10000|9|red cola|1°producto||1|
141|titan manzana 600ml|10|40232886812|-10000|9|red cola|1°producto||1|
142|pila AAA duracel|19|41333666426|-10000|0|salma|1°producto||1|
143|maruchan cam/limon/haba|12.5|41789001864|-10000|9|maruchan|1°producto||1|
144|maruchan pollo64g|12.5|41789001918|-10000|0|maruchan|1°producto||1|
145|maruchan res|10|41789001925|-10000|9|maruchan|1°producto||1|
146|maruchan camaron|10|41789001956|-10000|9|maruchan|1°producto||1|
147|maruchan cama/chilepiqui|10|41789001987|-10000|9|maruchan|1°producto||1|
148|rastrillo bic confort 3 hojas|12|70330724341|-10000|1|bic|1°producto||1|
149|cajeta quemada coronado 370gr|36|74323083651|-10000|32.4|coronado|1°producto||1|
150|frijoles con choriso 430g|15|78883240547|-10000|0|la sierra|1°producto||1|
151|jack daniels aple|30|82184000984|-10000|27|jack daniels|1°producto||1|
152|jack daniel ginger|30|82184038338|-10000|27|jack daniels|1°producto||1|
153|tecate original laton 473ml|18|89826001415|-10000|15.3|indio|1°producto||24|
154|salsa valentina 1L amarilla|25|97339000030|-10000|23|valentina|1°producto||1|
155|valentina amarilla 370ml|15|97339000054|-10000|9|valentina|1°producto||1|
156|valentina negra 370ml|10|97339000061|-10000|9|valentina|1°producto||1|
157|papel higienico premier 4pz|26.5|99072000674|-10000|0|premier|1°producto||1|
158|choco huevo sorpresa12g|15|603554102017|-10000|12|las delicias|1°producto||1|
159|skarch 10L|26|606110023924|-10000|23.4|skarch|1°producto||1|
160|red-cola 355ml|6|606110024006|-10000|5.4|red-cola|1°producto||1|
161|arizona mucho mango 680ml|13|613008738808|-10000|11.7|arizona|1°producto||1|
162|arizona kiwi con fresa 680ml|14|613008738822|-10000|11.7|arizona|1°producto||1|
163|arizona sandia 680ml|14|613008738846|-10000|11.7|arizona|1°producto||1|
164|arizona ponche de frutas 680ml|14|613008738860|-10000|11.7|arizona|1°producto||1|
165|arizona te verde 680ml|14|613008738884|-10000|11.7||1°producto||1|
166|delicias350g|20|615380000122|-10000|0|delocias|1°producto||1|
167|donitas totis 50g|12|643795541244|-10000|0|la costeña|1°producto||1|
168|totis palitos chile y limòn 25g|6|643795549271|-10000|5.4|costeña|1°producto||1|
169|NEXT 10 tabletas|1.5|650240010538|-10000|0|next|1°producto||1|
170|alliviax 10 tabletas|10.5|650240013805|-10000|0|alliviax|1°producto||1|
171|mini snikers 9g|3.5|706460200164|-10000|0|snikers|1°producto||52|
172|sky arandano|20|721059712750|-10000|18|sky|1°producto||1|
173|skyblue granada|20|721059722759|-10000|18|sky|1°producto||1|
174|lucas gusano 36g|7|725181035075|-10000|3|orbit|1°producto||1|
175|skwinkles rellenos 26g|7|725181207016|-10000|3.5|orbit|1°producto||1|
176|skwinkles salsagheti 24g|7|725181249016|-10000|3|orbit|1°producto||1|
177|fregon 1pz|8.5|726866050415|-10000|0|fregon|1°producto||1|
178|gelatina dgari cereza 120gr|8|735257002445|-10000|7.2|dgari|1°producto||1|
179|gelatina uva 120g|11|735257002452|-10000|0|dgari|1°producto||1|
180|gelatina dgari piña 120gr|8|735257002469|-10000|7.2|dgari|1°producto||1|
181|gelatina dgari naranja 120gr|8|735257002476|-10000|7.2|dgari|1°producto||1|
182|gelatina mandarina 120g|11|735257002483|-10000|0|dgari|1°producto||1|
183|gelatina limon dgari 120g|11|735257002490|-10000|0|casa vargas|1°producto||1|
184|gelatina dgari jerez 120gr|8|735257002506|-10000|7.2|dgari|1°producto||1|
185|gelatina fresa 120g|11|735257002513|-10000|0|dgari|1°producto||1|
186|gelatina dgari frambuesa 120gr|8|735257002520|-10000|7.2|dgari|1°producto||1|
187|gelatina dgari durazno 120g|8|735257002537|-10000|7.2|dgari|1°producto||1|
188|gelatina manzana 120g|11|735257002568|-10000|0|dgari|1°producto||1|
189|gelatina dgari anis 120gr|8|735257002575|-10000|7.2|dgari|1°producto||1|
190|gelatina dgari mango 120gr|8|735257002582|-10000|7.2|dgari|1°producto||1|
191|gelatina dgari rompope 120gr|8|735257002629|-10000|7.2|dgari|1°producto||1|
192|d`gari vainilla gelatina 120g|9|735257002636|-10000|8.1|dgari|1°producto||1|
193|d`gari chocolate 120g|9|735257002650|-10000|8.1|casa vargas|1°producto||1|
194|gelatina dgari nuez 120gr|8|735257002667|-10000|7.2|dgari|1°producto||1|
195|flan vainilla dgari 88g|12.5|735257002889|-10000|0|gari|1°producto||1|
196|flan vainilla 140g|8|735257005019|-10000|7.2|dgari|1°producto||1|
197|salsa la botanera 956ml|20|738545010016|-10000|18|casa vargas|1°producto||1|
198|salsa botanera 1.400L|28|738545010559|-10000|25|botanera|1°producto||1|
199|esponja multiusos fibra|10|741120000296|-10000|9||1°producto||1|
200|tonayan 440ml|22.5|744293160354|-10000|0|casa vargas|1°producto||1|
201|tonayan 1L|42|744293160361|-10000|0|casa vargas|1°producto||1|
202|tequila herradura 700ml|700|744607002103|-10000|0|herradura|1°producto||1|
203|new mix vampiro|18|744607588805|-10000|16.2|el jimador|1°producto||1|
204|skyblue citrus|20|744607696012|-10000|18|sky|1°producto||1|
205|new mix paloma|18|744607840804|-10000|16.2|el jimador|1°producto||1|
206|sidral aga 2lt|19|744886193059|-10000|17.1|red cola|1°producto||1|
207|zubba 600ml|12|744886225231|-10000|8.1|zubba|1°producto||1|
208|zubba 2lts|19|744886522057|-10000|17.1|zubba|1°producto||4|
209|paletonn  20g|5|745404566317|-10000|0|paleton|1°producto||1|
210|charroncitos charras|12|756702134108|-10000|10.8||1°producto||1|
211|chips queso jalapeño 60g|9|756702134344|-10000|8.1|barcel|1°producto||1|
212|tostadas charras 300g|22|756702134719|-10000|0|charras|1°producto||1|
213|conejo chocolate  20g|12|756774011567|-10000|0|turin|1°producto||1|
214|chocolate turin18g|15|756774011727|-10000|12|turin|1°producto||1|
215|chocolate turin amargo 18g|15|756774011734|-10000|12|turin|1°producto||1|
216|hot nuts fuego|10|757528001742|-10000|9||1°producto||1|
217|chips fuego 170g|37|757528001889|-10000|31.5|barcel|1°producto||1|
218|churritos 50g|8|757528002022|-10000|7|barcel|1°producto||1|
219|papatinas fuego 25g|8|757528020859|-10000|0|barcel|1°producto||1|
220|golden nuts pepitas 28g|11|757528020897|-10000|9.9||1°producto||1|
221|bubulubu dark 35g|9|757528021757|-10000|0|ricolino|1°producto||1|
222|bubulubu frost 35g|10|757528023461|-10000|0|ricolino|1°producto||1|
223|chips chipotle 46g|12|757528024932|-10000|10.8|barcel|1°producto||1|
224|panditas enchilados|10|757528028527|-10000|9|ricolino|1°producto||1|
225|chocoretas|10|757528029586|-10000|9|ricolino|1°producto||1|
226|gomilocas dulcigomas|10|757528029593|-10000|9|ricolino|1°producto||1|
227|gomilocas dientes|10|757528029609|-10000|9|ricolino|1°producto||1|
228|gomilocas hamburguesas|10|757528029616|-10000|9|ricolino|1°producto||1|
229|gomilocas pingûinos|10|757528029623|-10000|9|ricolino|1°producto||1|
230|kranky|10|757528029630|-10000|9|ricolino|1°producto||1|
231|moritas ricolino|10|757528029647|-10000|9|ricolino|1°producto||1|
232|panditas clasicas|10|757528029654|-10000|9|ricolino|1°producto||1|
233|panditas saboracido|10|757528029661|-10000|9|ricolino|1°producto||1|
234|panditas rellenas|10|757528029678|-10000|9|ricolino|1°producto||1|
235|panditas rojos|10|757528029685|-10000|9|ricolino|1°producto||1|
236|bigmix clasico 70g|10|757528031022|-10000|9|barcel|1°producto||1|
237|watz 35g|8|757528031336|-10000|7.2|barcel|1°producto||1|
238|yumisa borfrutal|15|757528032630|-10000|13.5|gummy yummy|1°producto||1|
239|yumi cubos|15|757528032678|-10000|13.5|gummy yummy|1°producto||1|
240|yumi crowns|15|757528032913|-10000|13.5|gummy yummy|1°producto||1|
241|yumi glows|15|757528032999|-10000|13.5|gummy yummy|1°producto||1|
242|yumi hipersacidos|15|757528033033|-10000|13.5|gummy yummy|1°producto||1|
243|yumitags jugodefruta|15|757528033071|-10000|13.5|gummy yummy|1°producto||1|
244|lunetas 55g|10|757528033330|-10000|0|ricolino|1°producto||1|
245|hot nuts fuego 80g|12|757528033590|-10000|10.8|barcel|1°producto||1|
246|bigmix jalapeño 70g|10|757528034856|-10000|9|barcel|1°producto||1|
247|golden nuts limon y sal40g|12|757528035518|-10000|10.8||1°producto||1|
248|golden nuts limon y sal|12|757528035525|-10000|10.8||1°producto||1|
249|wapas queso loco 50g|10|757528035778|-10000|9|barcel|1°producto||1|
250|wapas salsa negra 50g|10|757528035839|-10000|9|barcel|1°producto||1|
251|golden nuts enchilados 60g|12|757528035860|-10000|10.8||1°producto||1|
252|hot nuts original 75g|10|757528035877|-10000|9||1°producto||1|
253|hot nuts fuego 75g|10|757528035884|-10000|0|hot nuts|1°producto||1|
254|kiyakis clasico 75g|10|757528035891|-10000|0|kiyakis|1°producto||1|
255|chips a la diabla 46g|12|757528036447|-10000|10.8|barcel|1°producto||1|
256|chips adobadas 46g|12|757528036454|-10000|10.8|barcel|1°producto||1|
257|chips fuego 46g|12|757528036461|-10000|10.8|barcel|1°producto||1|
258|chips jalapeño 46g|12|757528036478|-10000|10.8|barcel|1°producto||1|
259|chips sal de mar 46g|12|757528036492|-10000|10.8|barcel|1°producto||1|
260|valentones fuego 60g|10|757528036638|-10000|9||1°producto||1|
261|bigmix queso 65g|10|757528038298|-10000|9||1°producto||1|
262|bigmix fuego 65g|10|757528038618|-10000|9||1°producto||1|
263|takis limbo 56g|10|757528038656|-10000|9|barcel|1°producto||1|
264|chips a la diabla 45g|13|757528038748|-10000|11.7||1°producto||1|
265|chips adobadas 45g|13|757528038755|-10000|11.7||1°producto||1|
266|chips fuego 46g|13|757528038762|-10000|11.7||1°producto||1|
267|kranki puff 40g|10|757528039042|-10000|0|ricolino|1°producto||1|
268|chocoretas 50g|10|757528039073|-10000|0|ricolino|1°producto||1|
269|gomitas dulci 59.5g|10|757528039080|-10000|0|ricolino|1°producto||1|
270|gomitas dientes 55g|10|757528039097|-10000|0|ricolino|1°producto||1|
271|gomita pinguino 55g|10|757528039103|-10000|0|ricolino|1°producto||1|
272|kranki 50g|10|757528039110|-10000|0|ricolino|1°producto||1|
273|moritas 50g|10|757528039127|-10000|0|ricolino|1°producto||1|
274|panditas clasicos 52.5g|10|757528039134|-10000|0|ricolino|1°producto||1|
275|panditas acidos 52.5g|10|757528039141|-10000|0|ricolino|1°producto||1|
276|gomitas enchiladas 55g|10|757528039158|-10000|0|ricolino|1°producto||1|
277|panditas rellenos 54g|10|757528039172|-10000|0|ricolino|1°producto||1|
278|panditas rojos 52.5g|10|757528039189|-10000|0|ricolino|1°producto||1|
279|pasitas chocolate 50g|10|757528039196|-10000|0|ricolino|1°producto||1|
280|almendras chocolate 30g|10|757528039240|-10000|0|ricolino|1°producto||1|
281|gomitas hamburguesa 56g|10|757528039257|-10000|0|ricolino|1°producto||1|
282|big mix jalapeño 65g|10|757528039516|-10000|9|barcel|1°producto||1|
283|big mix clasico 65g|10|757528039523|-10000|9|barcel|1°producto||1|
284|runers 54g|8|757528039561|-10000|7.2||1°producto||1|
285|toreadas chile/habane 38g|13|757528039578|-10000|11.7||1°producto||1|
286|takis salsa brava 65g|11|757528039950|-10000|9.9||1°producto||1|
287|takis original|11|757528039967|-10000|9.9||1°producto||1|
288|takis fuego 65g|11|757528039974|-10000|9.9||1°producto||1|
289|takis huakamole 65g|11|757528039981|-10000|10|barcel|1°producto||1|
290|takis salsa brava 60g|11|757528040239|-10000|10|barcel|1°producto||1|
291|panditas mango chamoy 54g|10|757528040253|-10000|0|ricolino|1°producto||1|
292|obleas 14g|3|757528041311|-10000|2|coca|1°producto||1|
293|takis origina 68g|12|757528042400|-10000|10|barcel|1°producto||1|
294|takis fuego 68g|12|757528042417|-10000|7|barcel|1°producto||1|
295|takis wakamole 78g|12|757528042424|-10000|0|barcel|1°producto||1|
296|takis salsa brava 78g|12|757528042431|-10000|0|barcel|1°producto||1|
297|chips adobadas 46g|13|757528043841|-10000|11|barcel|1°producto||1|
298|chips fuego 46g|13|757528043858|-10000|11|barcel|1°producto||1|
299|chips jalapeño 46g|13|757528043865|-10000|11|barcel|1°producto||1|
300|chips sal 46g|13|757528043872|-10000|11|barcel|1°producto||1|
301|mini takis fuego 28g|5|757528044008|-10000|4|barcel|1°producto||1|
302|golden nuyts enchilados|10|757528044145|-10000|0|golden nuts|1°producto||1|
303|goldenm nuts|10|757528044152|-10000|0|golden nuts|1°producto||1|
304|wapas|10|757528044237|-10000|0||1°producto||1|
305|agua bonafont 1.5Lts|16|758104000159|-10000|15.3||1°producto||1|
306|bonafont levite 1.5 limon|16|758104001460|-10000|14.4|bonafont|1°producto||1|
307|bonafont agua 600ml|8|758104001712|-10000|7.2||1°producto||1|
308|bonafon 2lt|18|758104001972|-10000|0|bonafon|1°producto||1|
309|agua bonafon 6lt|30|758104003174|-10000|0|bonafon|1°producto||1|
310|agua bonafon 4lt|23|758104003938|-10000|0|bonafon|1°producto||1|
311|bonafont levite 600 coco|10|758104006519|-10000|9|bonafont|1°producto||1|
312|bonafont levite 1 lt coco|15|758104006526|-10000|11.7|bonafont|1°producto||1|
313|levite bonafont 1.5 piña coco|16|758104006533|-10000|14.4|bonafont|1°producto||1|
314|bonafont levite 600 pepino limon|10|758104006618|-10000|9|bonafont|1°producto||1|
315|bonafont levite limon-pepino 1lt|13|758104006625|-10000|11.7|bonafont|1°producto||1|
316|agua bona pepino/limon 1ltr|13|758104006632|-10000|11.7||1°producto||1|
317|bonafont levite 600 fresa|10|758104006649|-10000|9|bonafont|1°producto||1|
318|agua fresa 1L|13|758104006656|-10000|11.7||1°producto||1|
319|bonafont levite 1.5 fresa|17|758104006663|-10000|14.4|bonafont|1°producto||1|
320|bonafont levite 1 lt limon|15|758104006724|-10000|11.7|bonafont|1°producto||1|
321|agua levite limon 1.5 L|17|758104006731|-10000|15.3||1°producto||1|
322|bonafont levite 600jamaica|10|758104006779|-10000|9|bonafont|1°producto||1|
323|levite bonafont 1.5 jamaica|17|758104006793|-10000|14.4|bonafont|1°producto||1|
324|levite balance 400ml|13|758104006816|-10000|11.7||1°producto||1|
325|agua fresa liche 1.5L|17|758104006922|-10000|0|bonafont|1°producto||1|
326|bonafont piña/coco 1L|13|758104007097|-10000|11.7||1°producto||1|
327|bonafon levite frutos rojos 1lt|13|758104007318|-10000|0|bonafon|1°producto||1|
328|levite sandia limon 1L|13|758104007455|-10000|0|bonafont|1°producto||1|
329|juizzy naranja 2L|20|758104007684|-10000|0|bonafont|1°producto||1|
330|agua bonafont 1L|11|758104100422|-10000|9||1°producto||1|
331|pomada labial manzana3g|5|759684391101|-10000|0|jaloma|1°producto||1|
332|pomada para labios piña|5|759684391156|-10000|0|ómada labial|1°producto||1|
333|sabro leche 1L|11|781159053849|-10000|0|red cola|1°producto||24|
334|agua skarch 600ml|5|793573264091|-10000|3.6|skarch|1°producto||1|
335|agua skarch 1.5l|7|793573264107|-10000|6.3|skarch|1°producto||1|
336|red cola 3lts|25|793573950079|-10000|20.7|red-cola|1°producto||1|
337|cepillo clinic|12|798136320061|-10000|10.8||1°producto||1|
338|paleta guanamango 9g|1|798190122939|-10000|0.5|guna|1°producto||1|
339|predador enegy 473ml|15|815154022705|-10000|0|coca|1°producto||1|
340|four loko ponche de frutas 473ml|35|849806001220|-10000|31.5|four loko|1°producto||1|
341|four loko gold 473ml|35|849806001756|-10000|31.5|four loko|1°producto||1|
342|four loko black 473ml|35|849806002005|-10000|31.5|four loko|1°producto||1|
343|encendedor|8|852812005106|-10000|0|enmcendedor|1°producto||1|
344|cepillodental|20|3014260846725|-10000|18||1°producto||1|
345|encendedor bic|15|3086123397835|-10000|0|bic|1°producto||1|
346|encendedor big|15|3086126788722|-10000|0|encendedor|1°producto||1|
347|cigarro winston capsula menta 20'|54|4033100076428|-10000|49|camel|1°producto||1|
348|stella artois lager 250ml|16|5410228240945|-10000|14.4||1°producto||10|
349|skyblue manzana verde|20|6648040012900|-10000|18|sky|1°producto||1|
350|cepillo colgate|12|6910021007206|-10000|10.8||1°producto||1|
351|foco chiyoda plus 100w|10|7404005961329|-10000|9|chiyoda|1°producto||1|
352|quitaesmalte aroma fresco 100ml|10|7500093748566|-10000|0|esmalte|1°producto||1|
353|creamies|16|7500093757216|-10000|12|altea|1°producto||1|
354|lobo plateado tequila 1L|70|7500327041401|-10000|0|lobo plateado|1°producto||1|
355|totis churritos chile y limòn 55g|6|7500366000513|-10000|5.4|la costeña|1°producto||1|
356|chicharrones totis chile/limon|6|7500366000582|-10000|5.4||1°producto||1|
